SSATier1,SSATier2,Provision,LevelOfLearning,AppType,Sex,AgeGroup,Ethnicity,IndustrySection,NumberSustainedEmployment,SustainedEmploymentPercent
"Health, Public Services and Care",Nursing and Subjects and Vocations Allied to Medicine,All,All,All,All,19 - 24,All,Public Administration And Defence - Compulsory Social Security,20.0,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,Apprenticeship,All,Framework apprenticeship,All,All,Black / African / Caribbean / Black British,All,10.0,0.0
"History, Philosophy and Theology",All,All,All,All,All,25 - 49,All,Public Administration And Defence - Compulsory Social Security,10.0,0.0
Education and Training,Direct Learning Support,Apprenticeship,All,Standard apprenticeship,All,All,Other ethnic group,Public Administration And Defence - Compulsory Social Security,c,0.0
"Business, Administration and Law",Administration,Education & Training,Level 3 Other,Not applicable,All,All,All,Construction,20.0,0.0
"Business, Administration and Law",Marketing and Sales,All,All,Standard apprenticeship,All,25 - 49,All,Human Health And Social Work Activities,10.0,0.0
"Construction, Planning and the Built Environment",All,All,Level 4,All,All,All,All,Construction,10.0,0.0
Social Sciences,Politics,All,All,Not applicable,Male,All,All,Manufacturing,10.0,0.0
"Construction, Planning and the Built Environment",Architecture,Education & Training,All,All,All,All,All,All,c,0.0
"Business, Administration and Law",Administration,Education & Training,All,All,All,All,Asian / Asian British,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,Apprenticeship,All,Standard apprenticeship,All,19 - 24,All,Accommodation And Food Service Activities,10.0,0.0
"Construction, Planning and the Built Environment",All,Apprenticeship,All,All,All,All,All,Financial And Insurance Activities,10.0,0.0
Preparation for Life and Work,Foundations for Learning and Life,Education & Training,All,Not applicable,Female,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,8250.0,1.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,Education & Training,All,Not applicable,Female,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,460.0,0.0
"Business, Administration and Law",Administration,Apprenticeship,All,Standard apprenticeship,All,25 - 49,All,Public Administration And Defence - Compulsory Social Security,500.0,0.0
"Business, Administration and Law",Business Management,Education & Training,All,All,All,25 - 49,All,Manufacturing,1420.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,All,All,Standard apprenticeship,All,19 - 24,All,Transportation And Storage,190.0,0.0
"Leisure, Travel and Tourism",All,Education & Training,All,Not applicable,All,18 and under,All,Administrative And Support Service Activities,1550.0,0.0
Preparation for Life and Work,All,Education & Training,All,All,All,19 - 24,All,Human Health And Social Work Activities,1720.0,0.0
Engineering and Manufacturing Technologies,All,Apprenticeship,All,All,All,25 - 49,All,Information And Communication,1160.0,0.0
Preparation for Life and Work,Foundations for Learning and Life,Education & Training,All,Not applicable,All,All,Unknown,Information And Communication,20.0,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,Education & Training,All,All,All,All,Asian / Asian British,Transportation And Storage,130.0,0.0
"Health, Public Services and Care",Health and Social Care,All,All,Not applicable,All,All,Asian / Asian British,Public Administration And Defence - Compulsory Social Security,250.0,0.0
Retail and Commercial Enterprise,All,All,All,Not applicable,All,All,White,Administrative And Support Service Activities,2530.0,0.0
"Construction, Planning and the Built Environment",All,All,All,All,All,All,Unknown,Real Estate Activities,c,0.0
All,All,All,All,Not applicable,All,All,White,Administrative And Support Service Activities,37870.0,5.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,Education & Training,Full level 3,Not applicable,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,1360.0,0.0
Digital Technology,Digital technology (users),Education & Training,Level 1 Digital,Not applicable,All,All,All,Public Administration And Defence - Compulsory Social Security,80.0,0.0
"Business, Administration and Law",Business Management,Apprenticeship,Advanced Apprenticeship,All,All,All,All,Manufacturing,690.0,0.0
Engineering and Manufacturing Technologies,Engineering,Apprenticeship,Advanced Apprenticeship,All,All,All,All,Education,60.0,0.0
"Arts, Media and Publishing",Media and Communication,All,All,Not applicable,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,3440.0,0.0
Engineering and Manufacturing Technologies,All,All,Full level 3,Not applicable,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,1970.0,0.0
Engineering and Manufacturing Technologies,All,All,Level 3 Other,All,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",20.0,0.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,Education & Training,All,All,All,50 and over,All,All,490.0,0.0
All,All,All,All,Framework apprenticeship,All,19 - 24,All,All,2750.0,0.0
"Leisure, Travel and Tourism",All,All,All,Standard apprenticeship,All,All,White,All,1340.0,0.0
Science and Mathematics,All,Education & Training,All,All,Female,All,All,"Professional, Scientific And Technical Activities",720.0,0.0
Social Sciences,All,All,All,Not applicable,Female,All,All,"Arts, Entertainment And Recreation",810.0,0.0
"Construction, Planning and the Built Environment",All,All,All,All,All,50 and over,All,"Professional, Scientific And Technical Activities",140.0,0.0
Social Sciences,Sociology and Social Policy,All,All,Not applicable,All,All,White,"Arts, Entertainment And Recreation",780.0,0.0
"Business, Administration and Law",Accounting and Finance,Education & Training,Full level 3,Not applicable,All,All,All,Accommodation And Food Service Activities,370.0,0.0
"Construction, Planning and the Built Environment",Building and Construction,All,All,Not applicable,All,All,All,Education,1020.0,0.0
"Health, Public Services and Care",Nursing and Subjects and Vocations Allied to Medicine,All,All,Not applicable,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,260.0,0.0
"Construction, Planning and the Built Environment",All,Education & Training,Full level 3,All,All,All,All,Administrative And Support Service Activities,330.0,0.0
"Agriculture, Horticulture and Animal Care",All,Education & Training,Level 2 Other,All,All,All,All,Human Health And Social Work Activities,350.0,0.0
Retail and Commercial Enterprise,All,Education & Training,Full level 2,All,All,All,All,Administrative And Support Service Activities,400.0,0.0
All,All,Apprenticeship,Advanced Apprenticeship,All,All,All,All,Real Estate Activities,800.0,0.0
"Business, Administration and Law",Business Management,All,All,Not applicable,All,All,Asian / Asian British,Public Administration And Defence - Compulsory Social Security,90.0,0.0
Social Sciences,Sociology and Social Policy,Education & Training,Full level 3,Not applicable,All,All,All,Public Administration And Defence - Compulsory Social Security,190.0,0.0
"Arts, Media and Publishing",All,All,Advanced Apprenticeship,All,All,All,All,Transportation And Storage,10.0,0.0
"Languages, Literature and Culture",All,Education & Training,All,All,Female,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,50.0,0.0
"Business, Administration and Law",Business Management,All,All,All,All,50 and over,All,Unknown,230.0,0.0
"Business, Administration and Law",Marketing and Sales,All,All,Not applicable,All,25 - 49,All,Public Administration And Defence - Compulsory Social Security,40.0,0.0
"Languages, Literature and Culture","Languages, Literature and Culture of the British Isles",Education & Training,All,All,All,All,Other ethnic group,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
"Languages, Literature and Culture",All,All,All,Not applicable,All,18 and under,All,"Agriculture, Forestry And Fishing",100.0,0.0
All,All,All,All,Standard apprenticeship,All,All,Mixed / Multiple ethnic groups,Manufacturing,130.0,0.0
"Business, Administration and Law",All,Apprenticeship,Intermediate Apprenticeship,Standard apprenticeship,All,All,All,Construction,110.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,Apprenticeship,All,All,All,18 and under,All,Manufacturing,20.0,0.0
"Arts, Media and Publishing","Crafts, Creative Arts and Design",All,Level 3 Other,All,All,All,All,Education,230.0,0.0
"Business, Administration and Law",All,All,Level 3 Other,All,All,All,All,Public Administration And Defence - Compulsory Social Security,90.0,0.0
"Business, Administration and Law",Business Management,Apprenticeship,All,All,All,25 - 49,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",110.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,All,All,Standard apprenticeship,All,19 - 24,All,Education,40.0,0.0
"Agriculture, Horticulture and Animal Care",All,Education & Training,All,All,All,19 - 24,All,Other Service Activities,90.0,0.0
Engineering and Manufacturing Technologies,All,All,All,All,All,All,Mixed / Multiple ethnic groups,"Arts, Entertainment And Recreation",40.0,0.0
Not Applicable / Not Known,Not Applicable / Not Known,All,All,All,All,All,All,Education,180.0,0.0
Digital Technology,All,Education & Training,Level 1 Digital,All,All,All,All,Real Estate Activities,20.0,0.0
Engineering and Manufacturing Technologies,Engineering,Apprenticeship,All,Standard apprenticeship,All,50 and over,All,All,110.0,0.0
Science and Mathematics,Science,Education & Training,All,Not applicable,Female,All,All,Information And Communication,80.0,0.0
Preparation for Life and Work,All,Education & Training,All,Not applicable,All,25 - 49,All,"Electricity, Gas, Steam And Air Conditioning Supply",50.0,0.0
"Construction, Planning and the Built Environment",Building and Construction,Education & Training,Full level 3,Not applicable,All,All,All,Human Health And Social Work Activities,60.0,0.0
Digital Technology,All,All,Full level 3,All,All,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,10.0,0.0
"Arts, Media and Publishing",All,Education & Training,All,All,All,All,All,Mining And Quarrying,10.0,0.0
"Business, Administration and Law",Marketing and Sales,Education & Training,All,Not applicable,All,25 - 49,All,"Arts, Entertainment And Recreation",40.0,0.0
Science and Mathematics,All,All,All,Not applicable,All,All,Asian / Asian British,"Professional, Scientific And Technical Activities",200.0,0.0
"Health, Public Services and Care",All,All,All,Framework apprenticeship,All,All,White,Information And Communication,c,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,Education & Training,All,Not applicable,All,19 - 24,All,Accommodation And Food Service Activities,20.0,0.0
"Arts, Media and Publishing",Media and Communication,Apprenticeship,All,All,All,19 - 24,All,Accommodation And Food Service Activities,10.0,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,All,All,All,All,18 and under,All,Human Health And Social Work Activities,120.0,0.0
Retail and Commercial Enterprise,Hospitality and Catering,All,All,Not applicable,All,All,Other ethnic group,Financial And Insurance Activities,c,0.0
"Arts, Media and Publishing",All,Education & Training,Level 3 Other,All,All,All,All,Transportation And Storage,140.0,0.0
"Arts, Media and Publishing","Crafts, Creative Arts and Design",All,Advanced Apprenticeship,All,All,All,All,All,170.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,Education & Training,Full level 2,Not applicable,All,All,All,"Professional, Scientific And Technical Activities",50.0,0.0
Education and Training,All,Education & Training,All,All,All,All,Other ethnic group,Administrative And Support Service Activities,70.0,0.0
Education and Training,All,All,Level 3 Other,All,All,All,All,Real Estate Activities,20.0,0.0
"Business, Administration and Law",All,All,All,All,Female,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,90.0,0.0
Engineering and Manufacturing Technologies,Engineering,Education & Training,All,All,All,All,Mixed / Multiple ethnic groups,Education,10.0,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,All,All,Framework apprenticeship,Male,All,All,Administrative And Support Service Activities,10.0,0.0
